검색조건
대출기간,2024-01-01 ~ 2024-12-28
성별,전체
연령,20대
지역,전체
ISBN 부가기호,전체
주제,종교
세부주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2024-12-29
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"130","신들의 사생활","<신들의 사생활-그리스 로마 신화> 제작팀 지음","Dankkum i(단꿈아이)","2023","2","9791193031261","03210","219.21","43",
"134","결혼을 배우다 :사랑을 만나다 하나님을 만나다 ","이요셉 지음","토기장이","2016","","9788977823532","03230","234.9","42",
"134","기도 내려놓기 ","법륜 지음","정토출판","2010","","9788985961660","03220","224.8","42",
"134","무당과 유생의 대결 :조선의 성상파괴와 종교개혁 ","한승훈 지음","사우","2021","","9791187332619","93910","209.11","42",
"137","(정통 신화학자 정재서 교수가 들려주는) 이야기 동양 신화","정재서 지음","김영사","2010","","9788934939900","03150","219.12","41",
"137","그리스 로마 신화","글: 박시연 ;정보글: 강대진","북이십일","2017","6","9788950971410","74800","219","41",
"137","살아 있는 것은 다 행복하라:법정 잠언집","지은이: 법정,엮은이: 류시화","조화로운삶","2006","","9788995757703","03810","220.4","41",
"140","하나님, 듣고 계시죠? :구작가의 솔직 담백 배우자 기도 이야기 ","구작가 지음","두란노(두란노서원)","2020","","9788953138551","03230","234.8","40",
"140","기도의 자리로 :영광의 그분과 거룩한 발맞춤 ","지은이: C.S. 루이스 ;옮긴이: 윤종석","두란노(두란노서원)","2020","","9788953138742","04230","234.8","40",
"140","(심리학하는 교회언니 헵시바의) 연애 상담 ","헵시바 지음","두란노(두란노서원)","2022","","9788953142145","03230","234.8","40",
"140","불교를 철학하다 :21세기 불교를 위한 하나의 초상 ","이진경 지음","한겨레출판","2016","","9791160400182","03100","220.1","40",
"140","(에디스 해밀턴의) 그리스 로마 신화 ","에디스 해밀턴 지음 ;서미석 옮김","현대지성","2017","","9791187142201","03840","219.2","40",
"140","그리스 로마 신화, 최대한 쉽게 설명해 드립니다 :그리스 로마 신화의 맥을 잡아 주는 50가지 재미있는 강의 ","게롤트 돔머무트 구드리히 지음;안성찬 옮김","이화북스","2020","","9791190626019","04300","219.21","40",
"146","5가지 사랑의 언어","게리 채프먼 지음;장동숙 옮김","생명의말씀사","2003","","9788904155057","03230","234.9","39",
"146","그리스 로마 신화","글: 박시연 ;정보글: 강대진","북이십일","2017","8","9788950971434","74800","219","39",
"146","클린 =나쁜 감정은 씻어내고 좋은 감정을 채우는 마음 혁명 /Clean ","구사나기 류? 지음 ;류두진 옮김","비즈니스북스","2021","","9791162542064","03190","224.8","39",
"146","하나님의 인도하심을 구하라 :주를 기쁘시게 할 것이 무엇인지 분별하라 ","지은이: 유기성","규장","2021","","9791165042462","03230","235.2","39",
"146","지금 변하지 않으면 내일은 없다 :변질의 위기에서 변화의 기회를 잡으라 ","지은이: 이찬수","규장","2023","","9791165044497","03230","234.8","39",
"146","기도를 송두리째 바꾸신 예수 그리스도 :주님이 이끄시는 기도 ","지은이: 박리부가","규장","2024","","9791165045098","03230","237.2","39",
"152","목적이 이끄는 삶 :나는 왜 이세상에 존재하는가 ","릭 워렌 지음 ;고성삼 옮김","디모데","2003","","9788938810618","03230","234.8","38",
"152","기독교가 직면한 12가지 질문 ","지은이: 레베카 맥클러플린 ;옮긴이: 이여진","죠이선교회","2021","","9788942104741","03230","231.97","38",
"152","과학이란 무엇인가 - 진리를 찾아 나선 인류의 지적 모험에 건네는 러셀의 나침반","버트런드 러셀 (지은이), 장석봉 (옮긴이)","사회평론","2021","","9791162731536","","","38",
"155","사랑은 사랑으로 돌아옵니다 :정목스님과 함께하는 행복한 마음 연습 ","정목 지음","김영사","2023","","9788934910848","03810","220.4","37",
"155","순전한 기독교","C. S. 루이스 지음;이종태 옮김","홍성사","2005","","9788936506957","03230","231","37",
"155","그리스 로마 신화","글: 박시연 ;정보글: 강대진","북이십일","2017","3","9788950971380","74800","219","37",
