검색조건
대출기간,2024-01-01 ~ 2024-12-28
성별,전체
연령,20대
지역,전체
ISBN 부가기호,전체
주제,역사
세부주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2024-12-29
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"153","(박시백의) 조선왕조실록 =The annals of the Joseon dynasty ","글 그림: 박시백","Humanist(휴머니스트 출판그룹)","2015","1","9788958628019","07910","911.05","91",
"153","벌거벗은 세계사 :벗겼다, 끝나지 않는 전쟁","지은이: tvN <벌거벗은 세계사> 제작팀,황규득","교보문고","2022","","9791159098161","03900","909","91",
"153","(머리에 새기고 마음에 남기는) 울게 되는 한국사","김재원 지음","빅피시","2023","","9791193128008","04910","911.06","91",
"153","이순신의 바다 :그 바다는 무엇을 삼켰나 ","지은이: 황현필 ;일러스트: 권동현","역바연","2021","","9791197693007","03910","911.0553","91",
"157","(프렌즈) 스페인·포르투갈 =최신판 '22~'23 /Spain·Portugal ","박현숙 지음","중앙일보에스","2022","","9788927869788","14980","982.702","90",
"157","(베스트 프렌즈) 도쿄 :최신판 '23~'24 ","정꽃나래,정꽃보라 지음","중앙일보에스","2023","","9788927879688","14980","981.32302","90",
"157","조선왕조실톡 2 - 조선 패밀리의 활극","무적핑크 (지은이), 이한, 와이랩(YLAB)","이마","2015","2","9791186940020","04910","911.05","90",
"157","런던에서 온 평양 여자 ","오혜선 지음","더미라클","2023","","9791198161734","03300","990.99","90",
"161","나의 문화유산답사기 :국내편","유홍준 지음","창비","2011","11","9788936479190","03810","981.102","89",
"161","도쿄 =분리형 가이드북 /Tokyo ","정숙영 지음","길벗","2023","1","9791140703425","13980","981.32302","89",
"161","벌거벗은 한국사 :본격 우리 역사 스토리텔링쇼","tvN story <벌거벗은 한국사> 제작팀,홍문기 지음","프런트페이지","2023","3","9791198243409","04910","911","89",
"164","사피엔스 :큰글자책 ","지은이: 유발 하라리 ;옮긴이: 조현욱","김영사","2020","2","9788934992059","04900","909","88",
"164","도쿄미식회 :여행의 모든 순간이 행복해지는 도쿄 인기 맛집 ","글·사진: 정윤정","시공사","2018","","9788952779946","13980","981.32302","88",
"164","(에이든) 제주여행 가이드북 ","지은이: 이정기,타블라라사 편집팀","타블라라사","2021","","9791190073097","13980","981.19902","88",
"167","디스이즈이탈리아 =2023년 최신판 /This is Italia ","글·사진: 전혜진,박기남","Terra(테라)","2022","","9788994939995","13980","982.802","87",
